,points,title,description,taster_name,taster_twitter_handle,price,designation,variety,region_1,region_2,province,country,winery
10,95,Éric & Jöel Durand 1999 Empreintes  (Cornas),"A huge, ink-black wine with all the brooding majesty that gives Cornas its reputation. A blockbuster with enormous rich, sweet tannins. At the end it is the quality of the superripe fruit from old vines that dominates, but it is certainly a wine to keep for generations.",Roger Voss,@vossroger,37.0,Empreintes,Rhône-style Red Blend,Cornas,,Rhône Valley,France,Éric & Jöel Durand
11,95,E. Guigal 1999  Hermitage,"A massive wine, with its opaque, dense purple color, its huge tannins and its tight, powerful structure. When it develops—maybe in 10 or 15 years' time—the perfumed, juicy Syrah fruits that are just suggested for the moment are going to be as dominant as the tannins are now. What a wine it will be then.",Roger Voss,@vossroger,55.0,,Rhône-style Red Blend,Hermitage,,Rhône Valley,France,E. Guigal
12,95,Stag's Leap Wine Cellars 1998 Cask 23 Red (Napa Valley),"What a great success. Oozes with blackcurrant jam and cassis and a dash of black pepper. Flamboyant oak adds a perfume of vanilla and smoke. Fleshy, long and full, this beautiful wine is not a monster, but it coats the palate with spicy flavors that epitomize class and style.",,,150.0,Cask 23,Bordeaux-style Red Blend,Napa Valley,Napa,California,US,Stag's Leap Wine Cellars
13,95,Switchback Ridge 1999 Cabernet Sauvignon (Napa Valley),"A beautifully balanced wine, framed in plush, ripe, velvety tannins and backed by lush, black cherry, plum, blackberry, spice, herb and chocolate flavors. Gloriously complex, seamless in its elegance, the wine is packed with charm and personality; long on the finish.",,,65.0,,Cabernet Sauvignon,Napa Valley,Napa,California,US,Switchback Ridge
14,94,Dalla Valle 1999 Cabernet Sauvignon (Napa Valley),"Ripe, rich and elegant, this wine is brimming with black plum, strawberry, cassis, chocolate, spice and herb notes. It's smooth-textured and seamlessly integrated, even at this early stage. Firm, plush tannins and just the right amount of toasty oak frame the ensemble.",,,100.0,,Cabernet Sauvignon,Napa Valley,Napa,California,US,Dalla Valle
15,94,Paul Jaboulet Aîné 1999 Chevalier de Sterimberg White (Hermitage),"Jaboulet's white Hermitage is named after the crusading knight who built and settled in the small chapel on the Hermitage hill. The wine itself is powerful, rich and concentrated, with heady perfumes of wild flowers and nuts. The palate combines a hint of wood, a full-bodied, oily texture and a stunning burst of acidity that leaves a crisp aftertaste.",Roger Voss,@vossroger,75.0,Chevalier de Sterimberg,Rhône-style White Blend,Hermitage,,Rhône Valley,France,Paul Jaboulet Aîné
16,94,Paul Jaboulet Aîné 1999 La Chapelle  (Hermitage),"Jaboulet's view of its most famous wine seems to have changed. Although the concentrated, dense tannins and big black fruit flavors are still there, it has lost the huge brooding presence of past vintages, and now has a veneer of sophistication with superripe fruit, plums and dark jam tastes. Whether this 1999 will age as well as older vintages remains to be seen, but it will certainly be ready to drink sooner.",Roger Voss,@vossroger,131.0,La Chapelle,Rhône-style Red Blend,Hermitage,,Rhône Valley,France,Paul Jaboulet Aîné
17,94,Pride Mountain 1999 Merlot (Napa-Sonoma),"What power and drama have gone into this wonderful wine. Sheer Pomerol, with pencil shaving, black cherry, cedar, chocolate and gamy-meaty aromas and flavors, tinged with violets, and the most voluptuous mouthfeel. Sheer hedonism right through the long sweet finish.",,,48.0,,Merlot,Napa-Sonoma,North Coast,California,US,Pride Mountain
18,94,Delas Frères 1999 Les Bessards  (Hermitage),"Old vines in the Les Bessards vineyard on the Hermitage hill have offered up a majestic wine that has considerable power. With its strong, firm tannins and intense, brooding dark fruits, this is a wine that has obviously been made to last. With little use of new wood for this wine (only 10%), the structure and the complexity come entirely from the enormously ripe fruit and traditional fermentation.",Roger Voss,@vossroger,98.0,Les Bessards,Rhône-style Red Blend,Hermitage,,Rhône Valley,France,Delas Frères
19,94,E. Guigal 1999 Brune et Blonde  (Côte Rôtie),"The perfect combination of elegance and purity of fruit give this famous wine, a blend of fruit from both slopes of the hills above Ampuis, a great sense of style as well as power. The Syrah perfumes, at their richest and coolest, combine with black fruits to give an overwhelming impression of immense fruit flavors.",Roger Voss,@vossroger,40.0,Brune et Blonde,Syrah,Côte Rôtie,,Rhône Valley,France,E. Guigal
20,94,Hedges 1999 Red Mountain Reserve Cabernet Sauvignon (Columbia Valley (WA)),"Hedges is one of a handful of Washington wineries producing top- caliber wines in significant quantities. This is their best deeply colored, elegant and Bordeaux-like in style and substance. Powerful, muscular black cherry fruit blends with dense, firm tannins, highlighted with elements of iron and earth. The wine, though young and compressed, is a perfect expression of Red Mountain Cabernet. About 20% Merlot is also in the blend. 2,100 six-bottle cases made. Editors' Choice.",Paul Gregutt,@paulgwine ,42.0,Red Mountain Reserve,Cabernet Sauvignon,Columbia Valley (WA),Columbia Valley,Washington,US,Hedges
21,90,La Jota Vineyard 2007 Cabernet Sauvignon (Howell Mountain),"A strong Cabernet that's so tightly wound in tannins, it's hard to appreciate, despite plenty of fruit. There's also a green olive earthiness to the sweet blackberries and cedar. Showing its immaturity now, so give it a good six years in the cellar.",,,65.0,,Cabernet Sauvignon,Howell Mountain,Napa,California,US,La Jota Vineyard
22,90,Montes 2010 Limited Selection Sauvignon Blanc (Leyda Valley),"This SB has one of Chile's best track records for high quality. The nose and flavors both exceed norms, with the former showing bold citrus, lime and melon aromas and the latter revolving around grapefruit, lime and gooseberry. It's ripe, healthy, pithy, acid-driven and piercing. Summer sipping calls.",Michael Schachner,@wineschach,15.0,Limited Selection,Sauvignon Blanc,,,Leyda Valley,Chile,Montes
23,90,Donnachiara 2006  Taurasi,"This firm and austere Taurasi opens with dark aromas of plum cake, chocolate, dried currant, cola and smoky barbecue sauce. The tannins are firm and dense and the wine needs a few more years of cellar aging before it softens.",,,34.0,,Aglianico,Taurasi,,Southern Italy,Italy,Donnachiara
24,90,Dr. Loosen 2009 Wehlener Sonnenuhr Spätlese Riesling (Mosel),"Loosen's 2009 spätlese from the Wehlener Sonnenuhr is a lush, medium-bodied wine loaded with honey and peaches. It's superripe and succulent, with a long, fruity finish. Try it with Szechuan dishes, which will buffer the sweetness of the wine while the wine tames some of the heat.",Joe Czerwinski,@JoeCz,30.0,Wehlener Sonnenuhr Spätlese,Riesling,,,Mosel,Germany,Dr. Loosen
25,90,Dry River 2009 Late Harvest Riesling (Martinborough),"Plump and slightly sweet, this late-harvest Riesling comes in at 10% alcohol—something along the lines of a rich spätlese in terms of its alcohol-acid-sugar balance. Notes of pineapple and crushed stone open up to melon fruit on the palate and finish long, with a bit of cinnamon or ginger spice.",Joe Czerwinski,@JoeCz,55.0,Late Harvest,Riesling,,,Martinborough,New Zealand,Dry River
26,90,Kingston Family 2009 Alazan Pinot Noir (Casablanca Valley),"Always at the top of the Chilean Pinot heap is this true, complex wine from Kingston Family. The nose features light raspberry, citrus, oceanic brine and toasty, creamy oak. The palate is lush and rolls across the tongue with ease; ripe fruit in the cherry zone along with cocoa and spice make for fine flavors. Finishes with purity, smooth tannins and herbal twinges.",Michael Schachner,@wineschach,30.0,Alazan,Pinot Noir,,,Casablanca Valley,Chile,Kingston Family
27,90,Kumeu River 2008 Coddington Chardonnay (Kumeu),"Perhaps the biggest of Kumeu River's 2008 Chardonnays, the Coddington offers waves of tropical fruit—pineapple and carambola—allied to mouthfilling richness and balanced by citrusy acids and hints of roasted nuts. Drink now.",Joe Czerwinski,@JoeCz,42.0,Coddington,Chardonnay,,,Kumeu,New Zealand,Kumeu River
28,90,Nanni Copé 2008 Sabbie di Sopra il Bosco Red (Terre del Volturno),"Here's a new producer from southern Italy who presents a very interesting blend of Pallagrello (70%), Aglianico and Casavecchia. The wine opens with warm aromas of leather, smoked meat and black fruit and delivers a unique mouthfeel that is firm but rich at the same time.",,,49.0,Sabbie di Sopra il Bosco,Red Blend,Terre del Volturno,,Southern Italy,Italy,Nanni Copé
29,90,Reichsgraf von Kesselstatt 2009 Piesporter Goldtröpfchen Trocken GG Riesling (Mosel),"Like the Josephshöfer bottling, von Kesselstatt's 2009 GG from the Piesporter Goldtröpfchen boasts a salty minerality that underscores the ripe flavors of peach and orange zest. It's medium to full in body, and nearly bone dry, with a long, mouth-watering finish.",Joe Czerwinski,@JoeCz,43.0,Piesporter Goldtröpfchen Trocken GG,Riesling,,,Mosel,Germany,Reichsgraf von Kesselstatt
30,90,S.A. Prüm 2009 Wehlener Sonnenuhr Kabinett Riesling (Mosel),"Makes an interesting contrast with the J.J. Prüm bottling from the same site, weighing in at a full 1.5% less in finished alcohol, and showing mineral-inflected passion fruit flavors and a touch of vanilla. The sweetness is finely balanced by mouthwatering acidity on the finish.",Joe Czerwinski,@JoeCz,25.0,Wehlener Sonnenuhr Kabinett,Riesling,,,Mosel,Germany,S.A. Prüm
31,90,Errazuriz 2008 The Blend Limited Edition Red (Aconcagua Valley),"Alluring on the nose, with a ton of dried spice, mocha and tobacco aromas to go with beefy, berry fruit notes. Despite its darkness and size, this wine delivers bright, juicy acidity and then herbal cassis and berry flavors. Tobacco, herbs and length define the finish. A blend of five red grapes, including Mourvèdre and Petit Verdot; drink now through 2013.",Michael Schachner,@wineschach,35.0,The Blend Limited Edition,Red Blend,,,Aconcagua Valley,Chile,Errazuriz
32,90,Feudi di San Gregorio 2009 Pietracalda  (Fiano di Avellino),"Pietracalda (which translates into “hot rock”) seems indeed to release aromas of sunbaked granite or river stone over lush background tones of peach, pear and yellow lemon zest. There's a drying, polished feel in the mouth with a touch of bitter almond on the close.",,,33.0,Pietracalda,Fiano,Fiano di Avellino,,Southern Italy,Italy,Feudi di San Gregorio
33,90,Fournier Père et Fils 2009 Côtes de Morogues  (Menetou-Salon),"Particularly intense on the herbaceous front, the wine shows rich grapefruit and lemon zest flavors. Long, deep and delicious.",Roger Voss,@vossroger,22.0,Côtes de Morogues,Sauvignon Blanc,Menetou-Salon,,Loire Valley,France,Fournier Père et Fils
34,90,Gadais Père et Fils 2009 Vieilles Vignes Sur Lie  (Muscadet Sèvre et Maine),"Concentrated and very full in the mouth, the wine's acidity is tight, wrapped around lemon and grapefruit characters. Good depth of flavor in this intense wine.",Roger Voss,@vossroger,,Vieilles Vignes Sur Lie,Melon,Muscadet Sèvre et Maine,,Loire Valley,France,Gadais Père et Fils
35,90,Hartenberg 2006 The Mackenzie Red (Stellenbosch),"Dark berries, coffee and woody spice start off the nose of this wine, with more concentrated but juicy plum and cherry flavors unfolding in the mouth. Creamy and lush with medium acid and a lively structure. Drink now–2013.",Lauren Buzzeo,@laurbuzz,79.0,The Mackenzie,Cabernet Blend,,,Stellenbosch,South Africa,Hartenberg
36,90,Hartenberg 2007 The Stork Shiraz (Stellenbosch),"Medium weight with a satiny smooth texture and great balance, this is a stellar Syrah with great complexity between the rich dark fruit flavors and forest spice. Aromatic accents of cured meat and crème brûlée linger in the back of the bouquet, while a strong coffee flavor stays strong through the finish.",Lauren Buzzeo,@laurbuzz,79.0,The Stork,Shiraz,,,Stellenbosch,South Africa,Hartenberg
37,90,Archery Summit 2008 Premier Cuvée Pinot Noir (Willamette Valley),"A fine, elegant Pinot Noir, still in its infancy, with bright cranberry and raspberry fruit taking center stage. A shimmering, vivid, youthful vitality elevates the fruit flavors, with juicy acidity and restrained oak influence. Though this is the least expensive wine in the Archery Summit portfolio, it may surprise those who cellar it. Some extra years in the bottle could bring out unsuspected depth and power.",Paul Gregutt,@paulgwine ,48.0,Premier Cuvée,Pinot Noir,Willamette Valley,Willamette Valley,Oregon,US,Archery Summit
38,90,Würtz 2008 Geyerscheiss Riesling (Rheinhessen),"A unique style of Riesling, naturally fermented on the skins for 20 days prior to pressing. The result is intriguing: honey and baked apple notes tinged with peach-like ripeness and briny minerality. It's medium-bodied, crisp and dry yet with a sense of honeyed richness.",Joe Czerwinski,@JoeCz,40.0,Geyerscheiss,Riesling,,,Rheinhessen,Germany,Würtz
39,90,Xavier Flouret 2007 uQamata Red (Stellenbosch),"Made by Carmen Stevens, one of South Africa's first black female winemakers, this is a gorgeous blend with rich aromas and flavors of black currant leaf, licorice, cigar tobacco, boysenberry and black cherry. Lush and creamy in the mouth, the finish offers a hint of fresh mint sprig for a last minute lift.",Lauren Buzzeo,@laurbuzz,20.0,uQamata,Bordeaux-style Red Blend,,,Stellenbosch,South Africa,Xavier Flouret
40,90,Brandborg 2009 Gewürztraminer (Umpqua Valley),"Do you like lemon drop cocktails? This is a lemon drop wine —so ripe and round and sweetly lemony it could almost pass for Limoncello. Despite the almost 14% alcohol, there is some sweetness, as you might find in a late harvest wine, albeit concealed by the acidity. Rose petals and talcum powder flavors coalesce into a firm, full, fruity, slightly sweet and also quite fragrant finish.",Paul Gregutt,@paulgwine ,16.0,,Gewürztraminer,Umpqua Valley,Southern Oregon,Oregon,US,Brandborg
41,90,Château Fonréaud 2006  Listrac-Médoc,"Firm tannins mark this as a wine for aging. At the same time, the sweet and ripe fruit gives weight and richness. Wood flavors just creep in to round out the tannins at the end. Keep for 7–8 years.",Roger Voss,@vossroger,,,Bordeaux-style Red Blend,Listrac-Médoc,,Bordeaux,France,Château Fonréaud
42,90,Joel Gott 2008 Dillian Ranch Zinfandel (Amador County),"Delicious. A drinkably juicy, brambly version of Amador County Zin, consistently one of Joel Gott's best, with appetizing texture and mouthfeel and dry, dusty tannins, ready to go now with a range of meaty foods but also able to age.",Virginie Boone,@vboone,28.0,Dillian Ranch,Zinfandel,Amador County,Sierra Foothills,California,US,Joel Gott
43,90,Laird 2008 Red Hen Ranch Chardonnay (Oak Knoll District),"Soft and rich, this Chardonnay shows intricately layered flavors of buttered toast, grilled peaches, orange jam, honeysuckle flowers and cinnamon. An opulent wine to drink now.",,,35.0,Red Hen Ranch,Chardonnay,Oak Knoll District,Napa,California,US,Laird
44,90,Lange 2009 Reserve Pinot Noir (Willamette Valley),"Young and loaded with primary fruit flavors—fresh-picked cherries right off the tree, red delicious apples, just-made cranberry sauce—this is lovely now but built for the long term. The 13.6% alcohol listed is verified by the juicy acidity and just a touch of herb in the back of the finish.",Paul Gregutt,@paulgwine ,32.0,Reserve,Pinot Noir,Willamette Valley,Willamette Valley,Oregon,US,Lange
45,89,Boekenhoutskloof 2008 The Chocolate Block Red (Western Cape),"This Syrah-dominant blend with 12% Grenache, 10% Cabernet Sauvignon, 7% Cinsault and 2% Viognier offers a delicious, fruit-driven core matched with complex spice notes of sweet smoke, cured meat and fresh tobacco leaf. The mouth is silky and smooth with fine-grain tannins and a white pepper-flecked finish. Drink now–2012.",Lauren Buzzeo,@laurbuzz,40.0,The Chocolate Block,Red Blend,,,Western Cape,South Africa,Boekenhoutskloof
46,89,Bosman Family Vineyards 2007 Cabernet Sauvignon (Wellington),"A hint of spiced cured meat mixes with the assertive notes of cassis and black plum in the bouquet. The mouth shows more of an herbal character with flavors of licorice, cigar tobacco and pepper that linger through the close. Firmly structured but with a creamy feel and dissipating tannins.",Lauren Buzzeo,@laurbuzz,28.0,,Cabernet Sauvignon,,,Wellington,South Africa,Bosman Family Vineyards
47,89,Huber 2007 Bombacher Sommerhalde R Trocken Spätburgunder (Baden),"Toasty and dark-fruited, Huber's 2007 Bombacher Sommerhalde R falls somewhere between the Wildenstein and Malterdinger Bienenberg in style. It's less herbal and more powerful than the former, but not as muscular as the latter. The tannins are still silky, yet there's great intensity, ending on a long, slightly charred note. Drink 2012–2020.",Joe Czerwinski,@JoeCz,59.0,Bombacher Sommerhalde R Trocken,Spätburgunder,,,Baden,Germany,Huber
48,87,Santi 2010 Solane  (Valpolicella Classico Superiore Ripasso),"Tight and aromatically intense, this delivers layers of ripe fruit, prune, black pepper, blackberry jelly and cinnamon. Those beautiful tones are followed by soft, velvety tannins.",,,16.0,Solane,"Corvina, Rondinella, Molinara",Valpolicella Classico Superiore Ripasso,,Veneto,Italy,Santi
49,87,Summers 2009 Ranch Reserve Merlot (Knights Valley),"Drink this charming Merlot now for its soft, sweet richness of fruit. With a touch of smoky oak, it shows cherry, red currant and mocha flavors that are wrapped into polished tannins.",,,30.0,Ranch Reserve,Merlot,Knights Valley,Sonoma,California,US,Summers
50,87,Tangent 2011 Paragon Vineyard Albariño (Edna Valley),"Racy and intensely flavored, this is high in acidity and has spectacularly concentrated flavors of apple, peach, citrus and tropical fruit. With no oak at all, the fruit stars—pure and clean. Even though the residual sugar is technically zero, the finish tastes sweet, so pair it with slightly sweet foods, especially Vietnamese, Chinese or Thai.",,,17.0,Paragon Vineyard,Albariño,Edna Valley,Central Coast,California,US,Tangent
51,87,Tedeschi 2011 Lucchine  (Valpolicella Classico),"This is not complex or elaborate, nor is it meant to be. In fact, simplicity sums it up. It's fresh and clean, and it will drink nicely with meatloaf or pork chops.",,,14.0,Lucchine,"Corvina, Rondinella, Molinara",Valpolicella Classico,,Veneto,Italy,Tedeschi
52,87,Joseph Drouhin 2010 La Forêt  (Bourgogne),"Attractively ripe, this has fruity red-berry flavors along with acidity and soft tannins. This is ready to drink now.",Roger Voss,@vossroger,17.0,La Forêt,Pinot Noir,Bourgogne,,Burgundy,France,Joseph Drouhin
53,87,Keenan 2009 Merlot (Napa Valley),"Dry and elegant, this has fine berry, currant and cola flavors that turn sweetly attractive on the finish. With its touch of earthiness, this should pair well with mushroom-based meat and poultry dishes.",,,36.0,,Merlot,Napa Valley,Napa,California,US,Keenan
54,87,La Dama 2009  Valpolicella Classico Superiore Ripasso,"This is layered and complex, with tones of black cherry, dried apple skin, clove, white pepper and grated ginger. Like most wines from Valpolicella, it offers heat and power but mellow tannins.",,,18.0,,"Corvina, Rondinella, Molinara",Valpolicella Classico Superiore Ripasso,,Veneto,Italy,La Dama
55,87,Maculan 2010 Brentino Red (Veneto),"A blend of Merlot and Cabernet Sauvignon, this has bright cherry fruit, with light touches of spice and toasted almond. The simple, but velvety mouthfeel will work with curry chicken or spicy beef.",,,18.0,Brentino,Red Blend,Veneto,,Veneto,Italy,Maculan
56,87,Musella 2009  Valpolicella Superiore Ripasso,"To add a touch of much-needed freshness and acidity, a small percentage of Barbera is added to this traditional blend of Corvina, Rondinella and Molinara. The quality of fruit is very nice and resembles cherry, cassis and prune.",,,23.0,,"Corvina, Rondinella, Molinara",Valpolicella Superiore Ripasso,,Veneto,Italy,Musella
57,87,Naggiar 2009 Estate grown Syrah (Sierra Foothills),"A broodingly dark, oaky Syrah, this has a dash of pepper and intense red fruit. Naggiar continues to make promising Rhone-inspired estate wines from rocky mountain soils.",Virginie Boone,@vboone,21.0,Estate grown,Syrah,Sierra Foothills,Sierra Foothills,California,US,Naggiar
58,87,Airfield Estates 2011 Pinot Gris (Yakima Valley),"There is a sweet streak running through the fleshy fruit flavors of pear and peach. This is pure Pinot Gris, balanced with high acidity, sweet fruit and slightly bitter flavors of skin and rind.",Paul Gregutt,@paulgwine ,15.0,,Pinot Gris,Yakima Valley,Columbia Valley,Washington,US,Airfield Estates
59,87,Bolla 2010 Le Poiane  (Valpolicella Classico Superiore Ripasso),"This has zest, personality and depth, with layers of red fruit, spice, leather, pipe tobacco and dried rosemary emerge that emerge on the bouquet.",,,17.0,Le Poiane,"Corvina, Rondinella, Molinara",Valpolicella Classico Superiore Ripasso,,Veneto,Italy,Bolla
60,87,Bouchard Père & Fils 2010 Réserve  (Bourgogne),"Ripe and full bodied, this is packed with tasty fruits. Notes of pear, apricot and white peach mingle easily together, creating a forward, wine with the right depth of flavor.",Roger Voss,@vossroger,20.0,Réserve,Chardonnay,Bourgogne,,Burgundy,France,Bouchard Père & Fils
61,87,Ca' Rugate 2010 Campo Lavei  (Valpolicella Superiore),"This opens with bright fruit notes of blueberry and wild cherry, followed by savory touches of exotic spice and green tea. It offers heft and endurance without the chewy thickness found in some Amarone.",,,30.0,Campo Lavei,"Corvina, Rondinella, Molinara",Valpolicella Superiore,,Veneto,Italy,Ca' Rugate
62,87,Tildio 2011 Lonesome Spring Ranch Sauvignon Blanc (Columbia Valley (WA)),"Lightly scented with a Riesling-like petrol note, this pungent, grassy Sauvignon Blanc offers a crisply focused mix of celery, green berry and spring herb.",Paul Gregutt,@paulgwine ,20.0,Lonesome Spring Ranch,Sauvignon Blanc,Columbia Valley (WA),Columbia Valley,Washington,US,Tildio
63,87,Tinazzi 2009 Tenuta Valleselle Rovertondo  (Valpolicella Superiore Ripasso),"This offers hearty fruit layers of black cherry, prune and plum, followed by notes of spice, leather and cola. It shows power and determination on the finish, with soft, velvety tannins.",,,,Tenuta Valleselle Rovertondo,"Corvina, Rondinella, Molinara",Valpolicella Superiore Ripasso,,Veneto,Italy,Tinazzi
64,87,Trapiche 2011 Oak Cask Syrah (Mendoza),"Bright and bold to the eye, this has generous, powerful berry aromas that come with a note of spice. It feels stacked and only slightly tangy, with black fruit and some of Syrah's more textbook flavors of leather and animal. It holds form on the finish.",Michael Schachner,@wineschach,10.0,Oak Cask,Syrah,Mendoza,,Mendoza Province,Argentina,Trapiche
65,87,Trenza 2010 Blanco White (Edna Valley),"Made from the folks behind Tangent, this blend of Grenache Blanc and Albariño is rich in orange, white flower and roasted almond flavors, brightened by zesty Edna Valley acidity. The oak brings a smoky creaminess and also some caramelized sweetness.",,,20.0,Blanco,White Blend,Edna Valley,Central Coast,California,US,Trenza
66,87,Vaona 2009 Paverno  (Amarone della Valpolicella Classico),"Lean and streamlined, this has bright aromas of dried rosemary, currant, cassis and spice. There's isn't too much pulpy fruit or extraction, but the acidity is refreshening and bright.",,,35.0,Paverno,"Corvina, Rondinella, Molinara",Amarone della Valpolicella Classico,,Veneto,Italy,Vaona
67,87,Vignerons de Buxy 2010 Buissonnier  (Montagny),"Soft and rounded, this is a ripe, full-bodied wine. It has pear and peach fruits, laced with lime-like acidity and notes of almond and yeast. With its bright, crisp finish, it's a wine to age over the next two years.",Roger Voss,@vossroger,21.0,Buissonnier,Chardonnay,Montagny,,Burgundy,France,Vignerons de Buxy
68,87,Vincent 2010 Marie-Antoinette  (Pouilly-Fuissé),"From the Vincent family of Château de Fuissé, this is a ripe wine, with its green plum and nectarine fruits giving it roundness. At the same time, there is a bright, attractive edge of crispness, with a citrusy finish.",Roger Voss,@vossroger,25.0,Marie-Antoinette,Chardonnay,Pouilly-Fuissé,,Burgundy,France,Vincent
69,87,Windsor Oaks 2007 Clone 777 Pinot Noir (Russian River Valley),"Showing red cherry, cola and spice flavors, this is very dry and silky, like a Russian River Pinot Noir should be. It's elegant, feeling smooth and clean on the palate. Drink now.",,,35.0,Clone 777,Pinot Noir,Russian River Valley,Sonoma,California,US,Windsor Oaks
70,87,Winery of Good Hope 2011 Unoaked Chardonnay (Stellenbosch),"There's great vibrancy on the nose of this wine, with bright scents of ripe nectarine and pineapple core, framed by a floral accent reminiscent of rose water. The mouthfeel is light and accessible, with yellow apple and lime rind flavors. Drink now.",Lauren Buzzeo,@laurbuzz,12.0,Unoaked,Chardonnay,,,Stellenbosch,South Africa,Winery of Good Hope
71,87,Porcupine Ridge 2010 Syrah (Coastal Region),"Notes of forest floor and menthol leaves add depth to the jammy core of boysenberry and blueberry fruits. It's solidly structured, with approachable tannins and medium acidity. A touch of cocoa stays through the medium-length finish. Drink now.",Lauren Buzzeo,@laurbuzz,13.0,,Syrah,,,Coastal Region,South Africa,Porcupine Ridge
72,87,Guardian Peak 2010 Shiraz (Western Cape),"Dark and lush, this has notes of forest berry and plum flesh. The mouthfeel is round and slightly creamy, with dense blackberry and raspberry flavors, and a finish that's dusted with pepper and cocoa powder accents. Drink now.",Lauren Buzzeo,@laurbuzz,15.0,,Shiraz,,,Western Cape,South Africa,Guardian Peak
73,87,Nickel & Nickel 2009 C.C. Ranch Cabernet Sauvignon (Rutherford),"This 100% Cabernet is very dry, with hard tannins housing blackberry, plum, raisin and cedar flavors. It could develop bottle complexity over the years, but at this price, it's an expensive risk.",,,100.0,C.C. Ranch,Cabernet Sauvignon,Rutherford,Napa,California,US,Nickel & Nickel
